"fcf_per_share","-1.18","","-0.89","3.51","6.29","1.49","0.78","-0.48","2.95","3.75","0.45","1.47","0.8","0.26","0.35","1.31","1.05","1.66","2.44","1.76","2.08","1.86","2.24"
"book_value_per_share","8.33","","6.82","10.29","13.06","13.41","12.18","14.26","14.04","16.17","16.85","16.37","6.4","7.31","5.25","8.66","12.18","13.05","11.33","11.94","10.46","10.33","10.51"
"tangible_book_per_share","8.33","","4.7","8.19","11","11.84","7.59","9.609999999999999","7.2","9.130000000000001","10.96","10.62","3.9","4.81","-3.25","0.1","-0.45","0.65","-5.88","-7.7","-7.05","-9.869999999999999","-9.6"
"payout_ratio","","","","","","","0.11","0.11","0.1","0.06","0.21","0.64","-0.04","0.23","-0.74","0.1","0.16","0.23","-0.78","2.32","0.38","-0.28","-0.29"
"revenue_growth","","0.72","0.36","-0.15","-0.06","-0.09","0.32","0.05","-0.18","-0.09","-0.15","-0.07000000000000001","-0.12","-0.2","-0.16","-0.02","0.18","0.15","0.02","0.27","-0.11","0.06",""
"gross_profit_growth","","95.73","-1.02","3.32","-0.29","0.49","0.46","-0.01","-0.09","-0.07000000000000001","-0.19","-0.19","-1.16","6","-0.66","2.92","0.33","0.12","0.02","0.21","0.03","0.18",""
"ebitda_growth","","58.58","-1.03","2.68","-0.43","0.14","0.76","0.01","-0.1","-0.08","-0.27","-0.34","-1.98","1.9","-0.89","9.130000000000001","0.45","0.18","0.07000000000000001","0.22","-0.01","0.16",""
"operating_income_growth","","49.41","-1.04","2.27","-0.46","0.2","0.84","","-0.12","-0.11","-0.31","-0.43","-2.8","1.56","-1.12","10.29","0.49","0.08","0.06","0.21","0.01","0.2",""
"pretax_income_growth","","1","","2.12","-0.49","0.55","0.66","-0.06","0.1","-0.02","-0.5","0.04","-3.59","1.4","-0.89","6.48","0.6","-0.32","-1.09","6.84","0.95","-1.58",""
"net_income_growth","","-0.45","-1.28","1.79","-0.3","0.8","0.06","-0.09","0.13","0.47","-0.7","-0.48","-17.83","1.16","-1.3","8.08","-0.35","-0.28","-1.36","1.38","6.04","-2.39",""
"eps_diluted_growth","","-0.44","-1.28","1.79","-0.32","0.49","0.06","-0.06","0.16","0.53","-0.6899999999999999","-0.48","-18.32","1.16","-1.31","8.09","-0.35","-0.29","-1.36","1.37","5.63","-2.56",""
"shares_diluted_growth","","","","","0.03","0.21","-0.01","-0.04","-0.02","-0.04","-0.01","","-0.02","-0.01","-0.01","-0.01","","0.01","","-0.01","0.11","-0.13",""
"cash_and_equiv_growth","","-1","","0.68","2.71","0.27","-0.38","-0.18","-0.16","0.23","0.09","0.05","-0.12","-0.09","-0.39","-0.18","0.68","-0.04","-0.39","-0.15","0.05","-0.22",""
"ppe_growth","","-1","","-0.05","0.11","-0.55","0.11","0.02","0.41","0.08","0.02","0.06","-0.4","-0.32","-0.14","-0.1","-0.07000000000000001","1.52","-0.07000000000000001","0.04","0.18","0.09",""
"total_assets_growth","","-1","","-0.06","0.04","-0.04","0.13","-0.09","0.02","0.05","0.02","-0.06","-0.25","-0.16","0.21","-0.11","0.38","0.06","0.06","0.09","-0.1","",""
"total_equity_growth","","-1","","0.51","0.31","0.24","-0.1","0.13","-0.04","0.11","0.03","-0.03","-0.62","0.13","-0.29","0.64","0.41","0.08","-0.13","0.05","-0.03","-0.15",""
"cfo_growth","","","","9.640000000000001","0.77","-0.73","-0.5","-1.29","16.25","0.18","-0.78","1.09","-0.43","-0.72","0.3","2.16","-0.15","0.55","0.43","-0.24","0.42","-0.16",""
"capex_growth","","1","","0.17","-0.02","1.06","1.33","-6.86","-1.1","0.03","0.1","-0.04","0.32","0.8100000000000001","-0.1","0.27","-1.13","-0.18","","-0.5","-1.37","-0.13",""
"fcf_growth","","1","","4.94","0.84","-0.71","-0.48","-1.59","7.01","0.22","-0.88","2.27","-0.47","-0.68","0.35","2.7","-0.2","0.59","0.47","-0.29","0.31","-0.23",""
"shares_eop","136","136","136","136","167.643","169.737","161.812","160.364","151.132","148.143","147.585","148.195","144.837","142.058","142.804","140.167","140.9","141.819","140.766","139.786","136.505","135.068","134.28"
"dividends","","","","","","","0.2","0.2","0.2","0.2","0.2","0.32","0.32","0.32","0.32","0.32","0.32","0.32","0.4","0.44","0.48","0.54","0.5600000000000001"
"price_to_earnings","","","","","26.1","21.81","7.71","10.51","14.08","8.6","30.66","63.01","-1.95","11.84","-39.07","6.43","7.61","21.41","-60.47","246.54","37.93","-28.24","-33.22"
"price_to_book","","","","","2.4","2.91","1.21","1.33","2.09","1.69","1.76","1.94","2.63","2.28","3.2","2.28","1.24","2.33","2.71","3.96","4.42","5.37","6.04"
"price_to_sales","","","","","0.46","0.75","0.21","0.25","0.46","0.45","0.57","0.66","0.39","0.47","0.5600000000000001","0.67","0.44","0.77","0.75","0.91","1.1","1.08","1.21"
"price_to_tangible_book","","","","","2.85","3.29","1.94","1.97","4.08","3","2.7","2.99","4.31","3.47","-5.16","198.54","-33.95","46.51","-5.21","-6.14","-6.55","-5.61","-6.61"
"price_to_fcf","","","","","4.98","26.24","18.78","-39.57","9.949999999999999","7.28","65.91","21.58","20.98","64.95999999999999","47.67","15.02","14.45","18.33","12.55","26.84","22.18","29.82","28.48"
"market_cap","","","","","4385.54088","6585.7956","2459.5424","3046.916","4604.99204","4128.74541","4415.7432","4725.93855","2454.98715","2403.62136","2383.39876","2779.51161","2138.862","4325.4795","4353.89238","6656.60932","7207.464","7484.11788","8571.882659999999"
"period_end_price","","","","","26.16","38.8","15.2","19","30.47","27.87","29.92","31.89","16.95","16.92","16.69","19.83","15.18","30.5","30.93","47.62","52.8","55.41","55.41"
