"policy_revenue","45.14","59.728","74.953","134.404","176.207","212.981","283.366","416.921","599.612","815.611","1107.024","1189.806"
"underwriting_profit","16.25","18.62","32.715","63.443","72.527","84.94","113.803","153.119","275.197","357.698","506.805","541.835"
"book_value","","92.586","113.451","210.214","238.189","263.986","405.88","576.2380000000001","699.335","745.449","1086.832","1170.969"
"tangible_book_value","","89.048","109.913","206.676","234.651","260.448","402.342","572.7","695.797","741.9109999999999","1083.294","1167.431"
"roa","","0.06","0.05","0.05","0.04","0.05","0.07000000000000001","0.07000000000000001","0.09","0.07000000000000001","0.09","0.1"
"roe","","0.28","0.22","0.16","0.11","0.13","0.19","0.18","0.24","0.22","0.34","0.35"
"roi","","0.03","0.02","0.02","0.02","0.02","0.05","0.04","0.04","0.01","0.05","0.05"
"ebitda_margin","0.26","0.31","0.42","0.28","0.21","0.19","0.24","0.22","0.29","0.24","0.32","0.32"
"operating_margin","0.25","0.31","0.42","0.28","0.21","0.18","0.24","0.22","0.29","0.23","0.31","0.32"
"pretax_margin","0.25","0.31","0.42","0.28","0.21","0.18","0.24","0.22","0.29","0.23","0.31","0.32"
"net_income_margin","0.25","0.2","0.28","0.18","0.13","0.15","0.2","0.19","0.23","0.19","0.25","0.26"
"underwriting_margin","0.36","0.31","0.44","0.47","0.41","0.4","0.4","0.37","0.46","0.44","0.46","0.46"
"assets_to_equity","","4.73","4.81","2.92","2.8","2.93","2.69","2.68","2.9","3.69","3.47","3.44"
"equity_to_assets","","0.21","0.21","0.34","0.36","0.34","0.37","0.37","0.35","0.27","0.29","0.29"
"premiums_per_share","2.15","2.81","3.54","6.35","8.19","9.81","12.78","18.06","25.27","34.34","46.02","49.09"
"revenue_per_share","2.31","3.04","3.84","6.72","8.69","10.24","14.27","20.12","28.34","36.27","52.54","57.2"
"ebitda_per_share","0.6","0.96","1.63","1.91","1.82","1.9","3.47","4.46","8.289999999999999","8.57","16.62","18.5"
"operating_income_per_share","0.58","0.93","1.6","1.88","1.79","1.87","3.44","4.39","8.19","8.460000000000001","16.48","18.5"
"pretax_income_per_share","0.58","0.93","1.6","1.88","1.79","1.87","3.44","4.39","8.19","8.460000000000001","16.48","18.5"
"book_value_per_share","","4.42","5.41","9.98","11.08","12.17","18.34","25.22","30.32","32.24","46.63","50.18"
"tangible_book_per_share","","4.25","5.24","9.81","10.92","12.01","18.18","25.06","30.17","32.08","46.48","50.03"
"payout_ratio","","","","0.08","0.21","0.18","0.11","0.09","0.07000000000000001","0.08","0.04","0.04"
"premiums_growth","","0.31","0.26","0.8","0.32","0.21","0.33","0.46","0.41","0.36","0.35",""
"policy_revenue_growth","","0.32","0.25","0.79","0.31","0.21","0.33","0.47","0.44","0.36","0.36",""
"revenue_growth","","0.31","0.27","0.76","0.32","0.19","0.42","0.46","0.42","0.28","0.46",""
"ebitda_growth","","0.6","0.71","0.17","-0.03","0.05","0.87","0.33","0.87","0.04","0.95",""
"operating_income_growth","","0.61","0.72","0.18","-0.03","0.05","0.88","0.32","0.88","0.04","0.96",""
"pretax_income_growth","","0.61","0.72","0.18","-0.03","0.05","0.88","0.32","0.88","0.04","0.96",""
"net_income_growth","","0.06","0.72","0.17","-0.05","0.36","0.87","0.4","0.73","0.04","0.9399999999999999",""
"eps_diluted_growth","","0.06","0.72","0.17","-0.06","0.34","0.83","0.35","0.71","0.04","0.92",""
"shares_diluted_growth","","","","","0.02","0.01","0.02","0.03","0.01","","0.01",""
"cash_and_equiv_growth","","","0.02","1.07","0.61","-0.08","0.34","-0.23","0.57","0.29","-0.19",""
"total_investments_growth","","","0.28","0.25","0.12","0.18","0.42","0.5","0.29","0.25","0.51",""
"total_assets_growth","","","0.25","0.13","0.09","0.16","0.41","0.42","0.31","0.36","0.37",""
"total_equity_growth","","","0.23","0.85","0.13","0.11","0.54","0.42","0.21","0.07000000000000001","0.46",""
"shares_eop","20.969","20.969","20.969","20.969","21.036","21.242","22.206","22.757","22.834","23.091","23.182","23.28"
"dividends","","","","0.1","0.24","0.28","0.32","0.36","0.44","0.52","0.5600000000000001","0.57"
"price_to_earnings","","","","27.25","38.02","34.93","35.65","51.51","35.58","37.95","25.2","34.77"
"price_to_book","","","","3.39","3.97","4.47","5.56","7.9","7.77","8.1","7.14","10.43"
"price_to_sales","","","","5.04","5.07","5.31","7.15","9.9","8.31","7.2","6.34","9.16"
"price_to_tangible_book","","","","3.45","4.03","4.53","5.61","7.95","7.81","8.140000000000001","7.17","10.46"
"market_cap","","","","713.15569","946.62","1180.20552","2257.46196","4554.35841","5431.98026","6038.75832","7763.88362","12213.84824"
"period_end_price","","","","34.01","45","55.56","101.66","200.13","237.89","261.52","334.91","334.91"
