"apic","0.016","0.114","4.41","11.386","15.977","36.102","36.909","39.263","40.166","58.626","64.209","79.102","85.154","127.553","159.884","267.846","280.668","276.717","276.717"
"treasury_stock","","","","","","","","","","","","","","","","","","",""
"other_equity","0.002","0.004","0.106","0.0070000000000004","0.011999999999998","0.019000000000006","0.02","0.020000000000002","0.020000000000005","0.039000000000001","0.039999999999996","0.044999999999995","0.057000000000006","0.069000000000003","0.07200000000000299","0.07499999999998899","0.075999999999794","0.076999999999998","0.076999999999998"
"minority_interest_liability","","","","","","","","","","","","","","","","","","",""
"total_equity","0.01","0.097","-1.605","0.011","-3.152","-2.518","-6.434","-5.906","-7.164","8.744","10.895","17.147","11.803","63.459","104.327","217.045","864.579","1088.528","1088.528"
"total_liabilities_and_equity","0.011","0.098","2.533","2.203","5.474","4.317","2.051","3.03","4.951","15.266","17.717","27.111","34.628","90.38200000000001","131.289","314.018","1222.069","1536.396","1536.396"
"cfo_net_income","-0.008","-1.454","-3.726","-5.262","-7.759","-19.497","-2.815","-1.779","-2.161","-2.15","-3.068","-8.241","-11.207","9.971","8.523999999999999","3.937","-187.282","226.801","263.385"
"cfo_da","","0.002","0.019","0.032","0.055","0.05","0.042","0.042","0.037","0.033","0.017","0.02","0.07199999999999999","0.893","1.611","1.264","1.917","3.226","3.906"
"cfo_receivables","","-0.095","-0.149","0.031","-1.953","0.975","-0.082","-0.871","-1.121","0.485","-0.661","-3.588","-6.605","-1.433","-7.469","-25.249","-26.369","-121.558","-30.583"
"cfo_inventory","","-0.299","-0.014","-0.117","-0.982","-0.612","-0.05","0.1","-0.866","-0.636","0.112","-3.094","-6.177","-2.239","-3.859","-175.174","11.802","-63.299","-51.251"
"cfo_prepaid_expenses","","-0.039","0.004","0.033","-0.881","0.78","-0.145","-0.05","0.258","-0.314","-0.271","-0.243","-1.119","-0.806","-10.457","1.072","2.214","-7.98","-5.89"
"cfo_other_working_capital","0.001","0.497","0.325","-0.383","1.141","1.05","-0.019","0.328","0.03","0.556","-0.066","4.158","8.439","1.835","8.175000000000001","65.589","247.761","99.849","101.9"
