"Company: ","Ginkgo Bioworks Holdings (DNA:US)","","","","",""
"Exchange: ","NYSE","","","","",""
"Last Close Price: ","0.3201","","","","",""
"Industry: ","Biotechnology","","","","",""
"Currency: ","USD","","","","",""
"Country: ","US","","","","",""
"Market Cap.: ","809","","","","",""
"total_equity_growth","","","2.33","0.11","-0.37",""
"cfo_growth","","-2.04","-0.87","0.01","-0.17",""
"capex_growth","","-1.6","0.02","0.08","0.3",""
"fcf_growth","","-1.9","-0.6","0.02","-0.09",""
"shares_eop","1485.061","1485.061","1611.39","1891.98","2001.31","2211.28"
"dividends","","","","","",""
"price_to_earnings","","","-7.32","-1.52","-3.79","-2.95"
"price_to_book","","","8.539999999999999","1.84","3.08","2.55"
"price_to_sales","","","42.67","6.69","13.45","12.07"
"price_to_tangible_book","","","8.779999999999999","2.04","3.5","2.92"
"price_to_fcf","","","-43.15","-10.5","-10.19","-7.93"
"market_cap","","","13390.6509","3197.4462","3382.2139","2519.5548"
"period_end_price","","","8.31","1.69","1.69","1.69"
