"Company: ","MP Materials Corp (MP:US)","","","","",""
"other_current_assets","1.234","5.5339999999999","7.809","21.073","8.819999999999899","8.819999999999899"
"total_current_assets","27.409","561.047","1276.807","1293.828","1131.177","1131.177"
"equity_and_other_investments","","","","","9.673","9.673"
"ppe_gross","54.798","517.894","650.241","994.577","1282.747","1282.747"
"accumulated_depreciation","-7.826","-14.892","-39.629","-58.735","-114.628","-114.628"
"ppe_net","46.972","503.002","610.612","935.842","1168.119","1168.119"
"intangible_assets","","","","0.089","8.881","8.881"
"goodwill","","","","","",""
"other_lt_assets","27.413","10.239","2.2470000000001","8.0279999999998","18.602","18.602"
"total_assets","101.794","1074.288","1889.666","2237.787","2336.452","2336.452"
"accounts_payable","","16.159","35.734","15.326","27.995","27.995"
"tax_payable","","","3.463","21.163","",""
"current_accrued_liabilities","14.175","","","56.939","73.93899999999999","73.93899999999999"
"st_debt","4.484","24.473","16.082","","",""
"current_deferred_revenue","6.609","","","","",""
"current_deferred_tax_liability","","","","","",""
"other_current_liabilities","5.853","2.163","4.01","4.053","6.616","6.616"
"total_current_liabilities","31.315","43.061","59.543","97.48099999999999","108.55","108.55"
"lt_debt","13.594","45.341","674.927","678.444","681.98","681.98"
"noncurrent_capital_leases","0.399","0.736","0.554","0.015","6.829","6.829"
"pension_liabilities","","","","","",""
"noncurrent_deferred_revenue","28.934","87.473","104.5","122.353","148.226","148.226"
"other_lt_liabilities","45.574","43.8","41.41","26.86","25.088","25.088"
"total_liabilities","119.816","220.411","880.934","925.153","970.673","970.673"
"common_stock","","","","","",""
"preferred_stock","","","","","",""
"retained_earnings","-40.797","-62.622","72.41500000000001","361.419","385.726","385.726"
"aoci","","","","0.189","0.145","0.145"
"apic","22.768","916.482","936.299","951.008","979.891","979.891"
"treasury_stock","","","","","",""
"other_equity","0.0069999999999979","0.016999999999939","0.018000000000029","0.018000000000029","0.017000000000053","0.017000000000053"
"minority_interest_liability","","","","","",""
"total_equity","-18.022","853.877","1008.732","1312.634","1365.779","1365.779"
"total_liabilities_and_equity","101.794","1074.288","1889.666","2237.787","2336.452","2336.452"
"cfo_net_income","-6.755","-21.825","135.037","289.004","24.307","3.349"
"cfo_da","4.687","6.931","24.382","18.356","55.709","65.97199999999999"
"cfo_receivables","-0.145","-3.219","-47.42","18.153","3.525","-21.274"
"cfo_inventory","-9.573","-9.224","-8.228999999999999","-24.314","-47.099","-63.018"
"cfo_prepaid_expenses","-0.082","1.794","-4.154","-8.223000000000001","2.377","-0.989"
"cfo_other_working_capital","11.711","-9.207000000000001","8.090999999999999","18.591","8.968","6.749"
"cfo_change_in_working_capital","1.911","-19.856","-51.712","4.207","-32.229","-78.532"
"cfo_deferred_tax","","-17.792","17.425","17.789","8.455","8.222"
"cfo_stock_comp","","5.01","22.93","31.78","25.24","25.7"
"cfo_other_noncash_items","-0.28","50.809","-46.091","-17.622","-18.783","-58.629"
"cf_cfo","-0.437","3.277","101.971","343.514","62.699","-33.918"
"cfi_ppe_net","5.624","-22.37","-123.745","-326.595","-261.879","-239.273"
"cfi_acquisitions_net","","","","","-9.673",""
"cfi_investment_net","","","","-1035.506","337.449","-106.745"
"cfi_intangibles_net","","","","","",""
"cfi_other","","","4.382","5.130000000000099","2.8000000000002","-6.7589999999999"
"cf_cfi","5.624","-22.37","-119.363","-1356.971","68.697","-352.777"
"cff_common_stock_net","","","","","","-200.764"
"cff_pfd_net","","","","","",""
"cff_debt_net","-4.096","18.634","687.5650000000001","-5.834","-2.732","316.204"
"cff_dividend_paid","","","","","",""
"cff_other","","503.327","-21.456","-18.357","-7.185","-85.61499999999999"
"cf_cff","-4.096","521.961","666.109","-24.191","-9.917","29.825"
"ebitda","-2.933","38.944","190.105","353.318","59.32","2.986"
"capex","5.624","-22.37","-123.745","-326.595","-261.879","-239.273"
"fcf","5.187","-19.093","-21.774","16.919","-199.18","-273.191"
"book_value","-18.022","853.877","1008.732","1312.634","1365.779","1137.754"
"tangible_book_value","-18.022","853.877","1008.732","1312.545","1356.898","1129.172"
"roa","","-0.04","0.09","0.14","0.01",""
"roe","","-0.05","0.14","0.25","0.02",""
"roic","","-0.05","0.1","0.16","0.01",""
"roce","","0.06","0.11","0.17","","-0.03"
"rotce","","0.06","0.11","0.17","","-0.03"
"gross_margin","0.08","0.47","0.7","0.79","0.41","0.18"
"ebitda_margin","-0.04","0.29","0.57","0.67","0.23","0.01"
"operating_margin","-0.1","0.24","0.5","0.63","0.01","-0.31"
"pretax_margin","-0.09","-0.29","0.48","0.65","0.13","0.06"
"net_income_margin","-0.09","-0.16","0.41","0.55","0.1","0.02"
"fcf_margin","0.07000000000000001","-0.14","-0.07000000000000001","0.03","-0.79","-1.32"
"assets_to_equity","-5.65","1.26","1.87","1.7","1.71","2.07"
"equity_to_assets","-0.18","0.79","0.53","0.59","0.58","0.48"
"debt_to_equity","-1.03","0.08","0.6899999999999999","0.52","0.5","0.83"
"debt_to_assets","0.18","0.07000000000000001","0.37","0.3","0.29","0.4"
"revenue_per_share","1.07","1.69","1.75","2.73","1.42","1.15"
"ebitda_per_share","-0.04","0.49","1","1.83","0.33","0.02"
"operating_income_per_share","-0.11","0.4","0.87","1.73","0.02","-0.35"
"pretax_income_per_share","-0.1","-0.5","0.84","1.76","0.19","0.06"
"fcf_per_share","0.08","-0.24","-0.11","0.09","-1.12","-1.51"
"book_value_per_share","-0.26","10.71","5.31","6.79","7.67","6.09"
"tangible_book_per_share","-0.26","10.71","5.31","6.78","7.62","6.05"
"payout_ratio","","","","","",""
"revenue_growth","","0.83","1.47","0.59","-0.52",""
"gross_profit_growth","","10.4","2.64","0.8","-0.75",""
"ebitda_growth","","14.28","3.88","0.86","-0.83",""
"operating_income_growth","","5.2","4.18","1.02","-0.99",""
"pretax_income_growth","","-4.84","5.06","1.13","-0.9",""
"net_income_growth","","-2.23","7.19","1.14","-0.92",""
"eps_diluted_growth","","-1.76","3.7","1.08","-0.91",""
"shares_diluted_growth","","0.16","1.38","0.02","-0.08",""
"cash_and_equiv_growth","","187.48","1.27","-0.88","0.93",""
"ppe_growth","","9.710000000000001","0.21","0.53","0.25",""
"total_assets_growth","","9.550000000000001","0.76","0.18","0.04",""
"total_equity_growth","","48.38","0.18","0.3","0.04",""
"cfo_growth","","8.5","30.12","2.37","-0.82",""
"capex_growth","","-4.98","-4.53","-1.64","0.2",""
"fcf_growth","","-4.68","-0.14","1.78","-12.77",""
"shares_eop","68.876","170.72","177.817","177.707","178.082","165.32"
"dividends","","","","","",""
"price_to_earnings","","-251.64","59.81","14.93","145.43","705.85"
"price_to_book","","6.43","8.01","3.29","2.59","2.08"
"price_to_sales","","40.89","24.33","8.18","13.95","11.45"
"price_to_tangible_book","","6.43","8.01","3.29","2.61","2.09"
"price_to_fcf","","-287.65","-370.92","255.02","-17.75","-8.65"
"market_cap","","5492.0624","8076.44814","4314.72596","3534.9277","2363.8901"
"period_end_price","","32.17","45.42","24.28","19.85","19.85"
