"net_income_growth","","-0.8","2.77","-0.33","1.22","-1.95","0.63","3.71","0.23","-0.4",""
"eps_diluted_growth","","-0.8","2.76","-0.33","1.24","-2.07","0.5600000000000001","3.55","0.37","-0.36",""
"shares_diluted_growth","","","","","-0.01","-0.11","-0.09","-0.06","-0.1","-0.07000000000000001",""
"cash_and_equiv_growth","","","-0.14","-0.15","-0.07000000000000001","-0.01","0.4","-0.16","-0.17","0.92",""
"total_investments_growth","","","0.11","0.12","0.01","0.15","0.18","-0.06","-0.1","0.06",""
"total_assets_growth","","","0.05","0.09","-0.06","0.13","0.1","0.06","-0.14","0.1",""
"total_equity_growth","","","0.1","0.14","-0.09","-0.01","0.12","-0.22","-0.73","0.43",""
"shares_eop","561","561","561","561","528.862","463.711","440.776","391.29","365.082","333.878","325.24"
"dividends","","","","","0.26","0.58","0.66","0.71","0.78","0.86","0.88"
"price_to_earnings","","","","","4.74","-6.51","-17.41","7.31","4.87","8.539999999999999","10.05"
"price_to_book","","","","","0.5600000000000001","0.79","0.7","1.07","5.15","3.09","3.91"
"price_to_sales","","","","","0.73","1.19","0.91","1.69","0.83","1.06","1.2"
"price_to_tangible_book","","","","","0.8100000000000001","1.16","1","1.76","-3.04","-6.05","-5.57"
"market_cap","","","","","8794.975060000001","11490.75858","11279.45784","12830.3991","10477.8534","11118.1374","12452.68416"
"period_end_price","","","","","16.63","24.78","25.59","32.79","28.7","33.3","33.3"
