"debt_to_equity","","0.04","0.04","0.47","0.5","0.6","0.57","0.8100000000000001","1.05","0.72","0.67","0.63","0.52"
"debt_to_assets","","0.02","0.02","0.2","0.2","0.23","0.22","0.27","0.31","0.25","0.23","0.23","0.19"
"revenue_per_share","32.66","31.42","30.19","16.94","17.41","17.25","19.87","21.33","20.85","20.89","21.56","22.14","21.49"
"ebitda_per_share","4.99","4.57","4.36","3.8","3.55","2.93","3.17","3.67","3.26","3.54","3.56","3.84","3.67"
"operating_income_per_share","2.39","2.17","2.09","1.65","1.38","1.1","1.51","1.81","1.23","1.59","1.68","1.86","1.69"
"pretax_income_per_share","-7.66","1.57","1.23","1.06","2.22","0.16","0.17","1.14","-0.34","2.7","0.66","1.69","1.53"
"fcf_per_share","2.25","3.62","2.13","0.38","1.28","-0.67","0.71","1.27","0.43","2.8","1.57","1.67","2.69"
"book_value_per_share","","21.02","20.36","18.49","18.12","14.04","13.7","12.55","12.44","15.05","15.06","16.14","16.4"
"tangible_book_per_share","","5.2","5.01","2.58","8.48","2.96","1.9","-1.67","-2.34","0.52","1.34","1.97","2.44"
"payout_ratio","","","","","0.12","1.24","0.3","0.58","-1.92","0.19","0.73","0.31","0.36"
"revenue_growth","","-0.06","-0.04","-0.44","-0.03","-0.05","0.07000000000000001","-0.06","-0.07000000000000001","0.03","0.03","0.02",""
"gross_profit_growth","","-0.07000000000000001","-0.01","-0.36","-0.03","-0.11","0.06","0.03","-0.11","0.11","0.01","0.08",""
"ebitda_growth","","-0.1","-0.05","-0.13","-0.11","-0.21","0.01","0.02","-0.16","0.12","","0.07000000000000001",""
"operating_income_growth","","-0.11","-0.04","-0.21","-0.2","-0.23","0.27","0.05","-0.36","0.33","0.05","0.1",""
"pretax_income_growth","","1.2","-0.22","-0.14","0.99","-0.93","-0.01","4.79","-1.28","9.119999999999999","-0.76","1.55",""
"net_income_growth","","1.14","-0.2","0.49","0.28","-0.89","4.55","-0.45","-1.31","11.64","-0.75","1.33",""
"eps_diluted_growth","","1.14","-0.2","0.48","0.36","-0.88","4.86","-0.37","-1.32","11.32","-0.74","1.33",""
"shares_diluted_growth","","-0.02","","","-0.05","-0.04","-0.07000000000000001","-0.12","-0.05","0.03","-0.01","",""
"cash_and_equiv_growth","","","0.06","3.24","0.32","-0.26","-0.49","-0.23","0.13","-0.06","0.04","0.03",""
"ppe_growth","","","","0.16","-0.36","-0.02","-0.02","-0.01","0.08","-0.01","0.02","0.05",""
"total_assets_growth","","","-0.05","0.23","","-0.23","-0.1","-0.07000000000000001","0.04","0.07000000000000001","-0.01","",""
"total_equity_growth","","","-0.03","-0.09","-0.07000000000000001","-0.25","-0.09","-0.19","-0.06","0.24","-0.01","0.07000000000000001",""
"cfo_growth","","0.21","-0.21","-0.47","0.38","-0.74","1.22","0.35","-0.44","1.62","-0.22","-0.04",""
"capex_growth","","0.3","-0.42","0.02","0.05","0.13","0.24","-0.21","0.26","-0.28","-0.17","0.12",""
"fcf_growth","","0.58","-0.41","-0.82","2.19","-1.5","1.98","0.58","-0.68","5.65","-0.44","0.06",""
"shares_eop","1869","1826","1826","1742.52","1666","1595","1423","1294","1287","1295","1281","1282.63","1299.67"
"dividends","","","","","0.22","0.26","0.38","0.45","0.48","0.48","0.48","0.48","0.5"
"price_to_earnings","","","","6.02","6.84","64.54000000000001","11.37","20.24","-34.53","5.54","21.06","9.74","12.21"
"price_to_book","","","","0.44","0.6899999999999999","0.9399999999999999","1.02","1.24","0.6899999999999999","0.95","0.92","0.93","1.02"
"price_to_sales","","","","0.48","0.71","0.77","0.7","0.73","0.41","0.68","0.64","0.68","0.78"
"price_to_tangible_book","","","","3.13","1.47","4.49","7.36","-9.289999999999999","-3.68","27.54","10.31","7.6","6.83"
"price_to_fcf","","","","21.25","9.710000000000001","-19.77","19.69","12.22","19.86","5.1","8.82","8.960000000000001","6.24"
"market_cap","","","","14811.42","21624.68","22202.4","21700.75","21234.54","11119.68","18971.75","18279.87","19726.8494","22064.81"
"period_end_price","","","","8.5","12.98","13.92","15.25","16.41","8.640000000000001","14.65","14.27","15.38","15.38"
