"pretax_income_per_share","5.88","0.32","5","-1.68","2.79","10.87","8.390000000000001","0.93","1.73"
"fcf_per_share","-3.81","-6.06","5.67","8.09","9.460000000000001","8.35","10.02","7.29","7.16"
"book_value_per_share","","36.01","44.83","18.98","17.52","25.02","29.28","26.95","26.81"
"tangible_book_per_share","","10.03","26.07","2.07","1","9.470000000000001","14","11.84","11.85"
"payout_ratio","","","","-1.14","1.71","0.33","0.45","3.41","1.67"
"revenue_growth","","-0.09","0.13","-0.13","-0.1","0.43","0.04","-0.22",""
"gross_profit_growth","","-0.3","0.16","-0.26","-0.17","1.07","-0.21","-0.43",""
"ebitda_growth","","-0.03","0.21","-0.23","-0.16","0.98","-0.21","-0.44",""
"operating_income_growth","","0.02","0.25","-0.36","-0.27","2.09","-0.28","-0.63",""
"pretax_income_growth","","-0.95","14.82","-1.33","2.66","2.93","-0.25","-0.89",""
"net_income_growth","","-0.89","8.98","-1.29","1.9","4.15","-0.27","-0.87",""
"eps_diluted_growth","","-0.89","9.300000000000001","-1.3","1.89","4.11","-0.25","-0.87",""
"shares_diluted_growth","","","","-0.01","","0.01","-0.03","-0.02",""
"cash_and_equiv_growth","","","-0.5600000000000001","-0.13","1.16","-0.41","0.3","-0.23",""
"ppe_growth","","","-0.1","0.08","-0.04","-0.01","-0.01","0.03",""
"total_assets_growth","","","0.05","-0.28","0.02","0.02","-0.04","-0.04",""
"total_equity_growth","","","0.24","-0.58","-0.08","0.44","0.13","-0.1",""
"cfo_growth","","-0.67","1.86","0.39","0.05","0.13","0.07000000000000001","-0.3",""
"capex_growth","","2.94","-1","74","9.59","-1.95","0.73","0.87",""
"fcf_growth","","-0.59","1.94","0.41","0.17","-0.11","0.16","-0.29",""
"shares_eop","750","750","750","741.499","743.1900000000001","735.215","704.88","702.293","703.21"
"dividends","","","","2.1","2.8","2.8","2.8","2.8","2.8"
"price_to_earnings","","","","-29.86","33.67","6.61","7.75","65.39","34"
"price_to_book","","","","2.88","3.17","2.23","1.67","2.02","2.15"
"price_to_sales","","","","0.9399999999999999","1.07","0.76","0.62","0.86","0.9399999999999999"
"price_to_tangible_book","","","","26.37","55.37","5.88","3.5","4.59","4.87"
"price_to_fcf","","","","6.76","5.88","6.67","4.88","7.45","8.039999999999999"
"market_cap","","","","40582.24027","41247.045","41701.3948","35518.9032","38513.74812","40736.72358"
"period_end_price","","","","54.73","55.5","56.72","50.39","54.84","54.84"
