"cff_other","","-305.395","","-0.23","-11.083","-123.843","-21.657","-7.203","-8.494999999999999","-14.442"
"cf_cff","-0.223","","-31.702","-86.696","-98.29900000000001","-534.746","-477.15","-205.778","-595.7910000000001","-602.639"
"ebitda","","99.047","-41.134","-43.851","524.079","738.393","743.4589999999999","743.351","824.769","844.819"
"capex","","-416.32","","","-267.383","-196.724","-232.825","-515.65","-183.999","-184.31"
"fcf","0.295","-406.783","28.08","83.53100000000001","355.004","556.658","476.927","183.954","595.064","622.595"
"book_value","0.5580000000000001","10.269","15.608","30.861","3143.414","2418.286","2286.698","2192.318","2151.731","2150.379"
"tangible_book_value","0.5580000000000001","10.269","15.608","30.861","1069.834","990.8390000000001","929.923","906.215","936.3","952.616"
"roa","","1.05","0.1","1.72","-0.11","-0.02","0.06","0.06","0.06","0.07000000000000001"
"roe","","1.79","0.18","2.87","-0.22","-0.04","0.14","0.15","0.17","0.18"
"roic","","1.79","0.18","2.87","-0.12","-0.02","0.06","0.06","0.07000000000000001","0.07000000000000001"
"roce","","-0.15","-3.18","-1.89","0.12","0.1","0.1","0.1","0.11","0.11"
"rotce","","-0.15","-3.18","-1.89","0.19","0.14","0.14","0.13","0.14","0.14"
"gross_margin","","","","","0.59","0.64","0.65","0.61","0.62","0.63"
"ebitda_margin","","","","","0.62","0.76","0.77","0.75","0.74","0.75"
"operating_margin","","","","","0.44","0.58","0.58","0.55","0.5600000000000001","0.5600000000000001"
"pretax_margin","","","","","-0.54","-0.18","0.46","0.45","0.45","0.46"
"net_income_margin","","","","","-0.42","-0.13","0.34","0.33","0.33","0.34"
"fcf_margin","","","","","0.42","0.57","0.49","0.19","0.53","0.55"
"assets_to_equity","1.87","1.69","1.91","1.55","2","2.32","2.42","2.64","2.67","2.67"
"equity_to_assets","0.54","0.59","0.52","0.65","0.5","0.43","0.41","0.38","0.38","0.37"
"debt_to_equity","","","","","0.92","1.28","1.37","1.53","1.49","1.48"
"debt_to_assets","","","","","0.46","0.55","0.5600000000000001","0.58","0.5600000000000001","0.55"
"revenue_per_share","","","","","1.92","2.03","2.02","2.06","2.31","2.34"
"ebitda_per_share","","0.53","-0.22","-0.24","1.18","1.54","1.55","1.55","1.71","1.75"
"operating_income_per_share","","","-0.22","-0.24","0.84","1.17","1.18","1.13","1.28","1.32"
"pretax_income_per_share","0.01","0.09","0.15","0.53","-1.03","-0.37","0.9399999999999999","0.92","1.04","1.08"
"fcf_per_share","","-2.19","0.15","0.45","0.8","1.16","0.99","0.38","1.23","1.29"
"book_value_per_share","","0.06","0.08","0.17","7.1","5.06","4.77","4.56","4.46","4.44"
"tangible_book_per_share","","0.06","0.08","0.17","2.42","2.07","1.94","1.89","1.94","1.97"
"payout_ratio","","","2.87","1.37","-1.35","-4.73","1.42","1.32","1.17","1.14"
"revenue_growth","","","","","","0.14","","0.02","0.12",""
"gross_profit_growth","","","","","","0.25","0.01","-0.04","0.14",""
"ebitda_growth","","","-1.42","-0.07000000000000001","12.95","0.41","0.01","","0.11",""
"operating_income_growth","","","-49.53","-0.07000000000000001","9.470000000000001","0.5","0.01","-0.04","0.14",""
"pretax_income_growth","","11.76","0.77","2.46","-5.63","0.61","3.52","-0.01","0.13",""
"net_income_growth","","11.43","-0.76","27.65","-6.33","0.65","3.71","-0.02","0.14",""
"eps_diluted_growth","","12","-0.42","10","-3.42","0.68","3.65","-0.01","0.13",""
"shares_diluted_growth","","","","","1.38","0.08","","","",""
"cash_and_equiv_growth","","132.46","-0.38","-0.53","-0.5600000000000001","-0.48","-1","","",""
"ppe_growth","","","","","","-0.01","0.04","0.11","0.01",""
"total_assets_growth","","15.68","0.71","0.6","130.7","-0.11","-0.01","0.04","-0.01",""
"total_equity_growth","","17.4","0.52","0.98","100.86","-0.23","-0.05","-0.04","-0.02",""
"cfo_growth","","31.33","1.94","1.97","6.45","0.21","-0.06","-0.01","0.11",""
"capex_growth","","","1","","","0.26","-0.18","-1.21","0.64",""
"fcf_growth","","-1379.93","1.07","1.97","3.25","0.57","-0.14","-0.61","2.23",""
"shares_eop","186.17","186.17","186.182","186.219","484.042","476.639","477.495","478.497","478.497","481.24"
"dividends","","","0.09","0.45","1.08","1.23","0.98","0.9","0.9","0.9"
"price_to_earnings","","","1579.14","31.26","-10.35","-29.99","13.94","15.83","16.13","17.35"
"price_to_book","","","235.23","67.45999999999999","1.17","1.52","2.02","2.36","2.79","3.14"
"price_to_sales","","","","","4.32","3.78","4.77","5.21","5.39","5.97"
"price_to_tangible_book","","","235.23","67.45999999999999","3.43","3.71","4.97","5.7","6.4","7.09"
"price_to_fcf","","","130.75","24.92","10.35","6.6","9.69","28.07","10.08","10.85"
"market_cap","","","3671.50904","2081.92842","3673.87878","3674.88669","4622.1516","5162.98263","5995.56741","6753.41168"
"period_end_price","","","19.72","11.18","7.59","7.71","9.68","10.79","12.53","12.53"
