"ebitda_per_share","5.73","11","8.640000000000001","5.08","12.7","15.65","7.81","5.81","14.23","10.76","2.28","1.83"
"operating_income_per_share","0.08","5.77","4.36","1.15","8.67","11.77","3.96","2.3","10.73","7.35","-1.28","-1.76"
"pretax_income_per_share","-15.12","-0.35","-1.85","-0.89","6.42","8.6","-2.37","0.93","6.31","3.88","-3.28","-4.09"
"fcf_per_share","-0.63","2.18","2.65","-3.91","4.38","0.26","1.66","0.22","2.79","1.89","-2.47","-2.9"
"book_value_per_share","","71.67","63.12","42.06","36.35","40.15","31.82","26.97","33.07","36.4","32.84","30.92"
"tangible_book_per_share","","70.41","62","40.48","35.2","39.05","30.72","25.95","32.13","35.44","31.81","29.9"
"payout_ratio","","","","","","","","","0.04","-0.59","-0.11","-0.11"
"revenue_growth","","0.05","-0.15","-0.17","0.25","0.15","-0.22","-0.11","0.31","0.02","-0.15",""
"gross_profit_growth","","0.7","-0.17","-0.33","0.88","0.24","-0.43","-0.31","1.28","-0.25","-0.67",""
"ebitda_growth","","0.93","-0.21","-0.41","1.56","0.25","-0.51","-0.25","1.5","-0.28","-0.79",""
"operating_income_growth","","69.13","-0.24","-0.73","6.69","0.37","-0.67","-0.42","3.76","-0.35","-1.17",""
"pretax_income_growth","","0.98","-4.35","0.52","8.41","0.35","-1.27","1.39","5.93","-0.41","-1.83",""
"net_income_growth","","0.91","-2.37","0.54","1.7","-0.1","-5.5","0.85","3.52","-1.29","-4.29",""
"eps_diluted_growth","","0.91","-2.37","0.54","1.68","-0.11","-5.56","0.85","3.48","-1.3","-4.37",""
"shares_diluted_growth","","","","","0.02","0.01","-0.02","0.01","0.02","-0.05","-0.02",""
"cash_and_equiv_growth","","","1.09","0.53","0.59","-0.18","-0.21","0.83","0.13","-0.25","-0.31",""
"ppe_growth","","","-0.17","-0.01","-0.02","-0.09","-0.05","-0.09","-0.08","-0.02","0.04",""
"total_assets_growth","","","-0.12","0.02","0.04","-0.08","-0.09","0.02","0.01","-0.02","-0.04",""
"total_equity_growth","","","-0.12","-0.33","-0.12","0.12","-0.22","-0.15","0.25","0.05","-0.11",""
"cfo_growth","","0.86","0.04","-1.36","4.94","-0.63","0.53","-0.43","1.34","-0.11","-0.89",""
"capex_growth","","0.22","0.12","-0.03","","0.01","0.05","0.07000000000000001","-0.1","-0.23","-0.11",""
"fcf_growth","","4.46","0.22","-2.48","2.15","-0.9399999999999999","5.27","-0.87","11.93","-0.35","-2.29",""
"shares_eop","181.7","182.4","182.4","182.931","185.201","184.77","185.58","185.978","184.1","176.969","178.472","179.56"
"dividends","","","","","","","","","0.1","0.4","0.4","0.4"
"price_to_earnings","","","","-12.84","35.76","19.64","-3.55","-25.22","25.57","-65.42","-9.32","-9.029999999999999"
"price_to_book","","","","0.67","1.47","0.65","0.68","0.85","1.75","1.22","1.04","1.1"
"price_to_sales","","","","0.55","0.86","0.37","0.38","0.46","0.9","0.65","0.58","0.58"
"price_to_tangible_book","","","","0.6899999999999999","1.52","0.67","0.7","0.89","1.8","1.25","1.07","1.13"
"price_to_fcf","","","","-7.18","12.18","100.23","13","104.56","20.7","23.53","-13.79","-11.71"
"market_cap","","","","5136.70248","9976.77787","4911.1866","3991.8258","4286.7929","10968.678","8046.78043","6068.048","6067.29861"
"period_end_price","","","","28.08","53.87","26.58","21.51","23.05","59.58","45.47","34","34"
