"cfo_other_working_capital","","-27","-33","23","12","-75","12","128","143","11","-319","-591","-920","143","-43","-157","-1483","-3607"
"cfo_change_in_working_capital","-3","-34","-6","-99","-35","-88","-69","251","18","516","-625","-826","-184","1093","-127","-1654","-1643","-2404"
"cfo_deferred_tax","","","","","14","14","3","-92","-220","365","-173","-8270","-934","-1142","-809","-34","-501","-417"
"cfo_stock_comp","12","15","12","25","38","53","77","163","232","679","921","1227","2185","1976","1704","1533","2171","4306"
"cfo_other_noncash_items","120","-15","17","10","","-4","-28","-35","-38","670","-93","58","98","269","219","412","141","445"
"cf_cfo","146","208","139","510","726","693","722","1175","2318","3411","6551","8880","9697","12061","13764","16736","18085","18942"
"cfi_ppe_net","-37","-60","-57","-77","-112","-241","-236","-409","-483","-718","-628","-396","-344","-463","-443","-424","-452","-481"
"cfi_acquisitions_net","","","","","-8","-4","-414","-5511","256","-9157","-30","-4027","-15076","-10654","37","-246","-53","-25976"
"cfi_investment_net","-27","-78","-7","-9","-1","","-2","35","-14","46","-7","-195","-5","","169","","-118","-90"
"cfi_intangibles_net","","-6","-1","","","","","","","","","","","","","","",""
"cfi_other","69","50","2","","-1","1","","","","-11","-9","-56","3","8","-8","3","-66","96"
"cf_cfi","5","-94","-63","-86","-122","-244","-652","-5885","-241","-9840","-674","-4674","-15422","-11109","-245","-667","-689","-26451"
"cff_common_stock_net","-2","-7","298","28","-23","-66","6","112","241","295","257","-7102","-6154","-489","-1129","-8341","-7563","-12518"
"cff_pfd_net","","","","","","","","","","","","","3679","","","","",""
"cff_debt_net","-108","-202","-115","-366","-233","-2","","5588","-1817","8193","3758","-973","13234","7703","-1591","-426","-403","26933"
"cff_dividend_paid","","","","","-86","-137","-198","-284","-408","-750","-1745","-2998","-4235","-5534","-6212","-7032","-7645","-8683"
"cff_other","-4","-1","","3","6","11","23","-87","125","-34","-40","-45","-36","-69","-42","-17","-12","33"
"cf_cff","-114","-210","183","-335","-336","-194","-169","5329","-1859","7704","2230","-11118","6488","1611","-8974","-15816","-15623","5765"
"ebitda","112","325","231","628","745","742","741","1203","2731","3629","7391","9449","9988","11117","14708","19266","20286","21020"
"capex","-37","-60","-57","-77","-112","-241","-236","-409","-483","-718","-628","-396","-344","-463","-443","-424","-452","-481"
"fcf","109","148","82","433","614","452","486","766","1835","2693","5923","8484","9353","11598","13321","16312","17633","18461"
"book_value","693","780","1040","1505","2006","2419","2886","3243","4714","21876","23186","26657","24941","23874","24962","22709","23988","69961"
"tangible_book_value","-206","-110","222","760","1330","1817","2003","-1970","-237","-17924","-12352","-11018","-29327","-36355","-29862","-28016","-23532","-73319"
"roa","","0.04","-0.02","0.2","0.24","0.21","0.18","0.04","0.13","-0.06","0.03","0.23","0.05","0.04","0.09","0.15","0.19","0.08"
"roe","","0.11","-0.05","0.33","0.31","0.25","0.21","0.09","0.34","-0.13","0.08","0.49","0.11","0.12","0.28","0.48","0.6","0.22"
"roic","","0.05","-0.03","0.25","0.29","0.25","0.21","0.05","0.16","-0.07000000000000001","0.04","0.28","0.05","0.05","0.1","0.18","0.22","0.1"
"roce","","0.1","0.04","0.27","0.3","0.25","0.2","0.09","0.19","0.02","0.05","0.11","0.08","0.06","0.12","0.21","0.25","0.13"
"rotce","","0.24","0.09","0.48","0.47","0.35","0.27","0.18","0.4","0.1","0.22","0.4","0.43","0.44","0.7","0.93","0.93","0.9399999999999999"
"gross_margin","0.24","0.39","0.38","0.46","0.49","0.48","0.48","0.44","0.52","0.45","0.48","0.51","0.55","0.57","0.61","0.67","0.6899999999999999","0.65"
"ebitda_margin","0.07000000000000001","0.19","0.16","0.3","0.32","0.31","0.29","0.28","0.4","0.27","0.42","0.45","0.44","0.47","0.54","0.58","0.57","0.49"
"operating_margin","-0.04","0.1","0.05","0.22","0.25","0.25","0.22","0.14","0.26","0.04","0.15","0.26","0.18","0.18","0.32","0.43","0.46","0.34"
"pretax_margin","-0.14","0.04","-0.02","0.19","0.24","0.25","0.23","0.08","0.21","-0.08","0.1","0.22","0.1","0.1","0.25","0.37","0.42","0.26"
"net_income_margin","-0.1","0.05","-0.03","0.2","0.24","0.24","0.22","0.06","0.2","-0.13","0.1","0.59","0.12","0.12","0.25","0.35","0.39","0.24"
"fcf_margin","0.07000000000000001","0.09","0.06","0.21","0.26","0.19","0.19","0.18","0.27","0.2","0.34","0.41","0.41","0.49","0.49","0.49","0.49","0.43"
"assets_to_equity","2.82","2.4","1.89","1.43","1.22","1.18","1.18","3.23","2.23","2.28","2.35","1.88","2.7","3.18","3.02","3.23","3.04","2.5"
"equity_to_assets","0.36","0.42","0.53","0.7","0.82","0.85","0.85","0.31","0.45","0.44","0.43","0.53","0.37","0.31","0.33","0.31","0.33","0.4"
"debt_to_equity","1.31","0.91","0.57","0.16","","","","1.7","0.82","0.62","0.76","0.66","1.31","1.72","1.59","1.74","1.63","1.06"
"debt_to_assets","0.46","0.38","0.3","0.11","","","","0.53","0.37","0.27","0.32","0.35","0.49","0.54","0.53","0.54","0.54","0.42"
"revenue_per_share","7.14","7.76","6.78","8.51","9.27","9.460000000000001","10","15.99","24.28","34.57","41.89","48.25","53.8","56.6","63.99","78.48999999999999","83.89","94.18000000000001"
