"cfo_prepaid_expenses","-287","1731","304","-195","-255","","","","","","","","","","","",""
"cfo_other_working_capital","-1011","-12174","1600","405","1671","-1393","3804","837","4088","-2758","339","-3128","-1698","-3558","9087","4378","736"
"cfo_change_in_working_capital","94","-6857","-966","-4122","630","-1326","247","-1208","580","-3015","-1376","-3789","-399","-3366","-2977","1822","736"
"cfo_deferred_tax","1163","-2027","254","-318","-35561","1561","-574","-2046","2228","10880","-112","-133","925","2214","425","-1041","-432"
"cfo_stock_comp","","","","","","","","","","","","","","","","",""
"cfo_other_noncash_items","7526","-124956","-5941","-4108","638","-977","-868","-2054","-5289","-3128","-5000","-1842","-2992","-5656","-2403","-1579","-1629"
"cf_cfo","-12065","-17239","6780","8166","10605","12630","10061","11769","16607","17328","15256","15021","16670","15188","16043","20930","20996"
"cfi_ppe_net","347","105","335","-790","-991","-2037","-4243","-14001","-16941","-12513","-5872","-3102","-1834","-209","2285","-607","-1068"
"cfi_acquisitions_net","231","-2127","-2662","4768","-26","-1727","-53","-927","-804","-41","-83","","","","","",""
"cfi_investment_net","2095","34","-5416","-10621","6902","136","-399","858","-3701","3504","2288","2190","-4263","385","-3780","4916","2362"
"cfi_intangibles_net","","","","","","","","","","","","","","","","",""
"cfi_other","-4437","-16990","8976","-6097","-9390","-10734","-10664","-13640","-14197","-18522","-17096","-9987","-15729","-16531","-16387","-18972","-17609"
"cf_cfi","-1764","-18978","1233","-12740","-3505","-14362","-15359","-27710","-35643","-27572","-20763","-10899","-21826","-16355","-17882","-14663","-16315"
"cff_common_stock_net","","","3395","11","-5094","-2438","-3277","-3520","-2500","-4492","2672","","-90","","-2500","-11115","-11026"
"cff_pfd_net","","","","","","","","","","985","2862","457","492","1736","-2121","",""
"cff_debt_net","1828","46055","-11422","697","1412","8006","12240","18017","21027","18455","11664","-2531","6141","406","6580","6132","7857"
"cff_dividend_paid","-283","-97","-1572","-916","-939","-1687","-3165","-2242","-2368","-2233","-2242","-2350","-669","-186","-397","-597","-610"
"cff_other","2298","-1384","-171","-150","-120","-150","-123","1353","918","-131","-3502","-253","-322","-212","-1179","-773","-589"
"cf_cff","3843","44574","-9770","-358","-4741","3731","5675","13608","17077","12584","11454","-4677","5552","1744","383","-6353","-4368"
"ebitda","-10417","-9639","12038","14369","35544","13713","8888","13025","18505","20922","18114","19599","19449","21375","21604","21186","22330"
"capex","347","105","335","-790","-991","-2037","-4243","-14001","-16941","-12513","-5872","-3102","-1834","-209","2285","-607","-1068"
"fcf","-11718","-17134","7115","7376","9614","10593","5818","-2232","-334","4815","9384","11919","14836","14979","18328","20323","19928"
"book_value","-85076","21957","26768","28600","26609","40065","36024","40323","44075","36200","42777","45957","49677","65815","72284","68307","70601"
"tangible_book_value","-85341","-23262","-16892","-10433","17827","32837","29641","33847","37882","30308","37159","40579","44457","60742","67350","63466","65778"
"roa","","0.92","0.04","0.06","0.04","0.03","0.02","0.05","0.05","-0.02","0.04","0.03","0.03","0.04","0.04","0.04","0.04"
"roe","","-3.32","0.21","0.24","0.16","0.13","0.1","0.25","0.22","-0.1","0.2","0.15","0.13","0.17","0.14","0.14","0.15"
"roic","","-1017.68","0.14","0.18","0.12","0.08","0.05","0.1","0.08","-0.03","0.06","0.04","0.04","0.06","0.05","0.05","0.05"
"roce","","-0.33","0.05","0.07000000000000001","-0.03","0.05","0.01","0.04","0.06","0.05","0.03","0.03","0.04","0.05","0.05","0.04","0.05"
"rotce","","-0.52","0.1","0.13","-0.04","0.06","0.01","0.04","0.06","0.06","0.03","0.03","0.04","0.05","0.05","0.04","0.05"
"gross_margin","","-0.07000000000000001","0.12","0.13","0.07000000000000001","0.12","0.09","0.13","0.13","0.13","0.1","0.1","0.11","0.14","0.13","0.11","0.11"
"ebitda_margin","-0.07000000000000001","-0.09","0.09","0.1","0.23","0.09","0.06","0.1","0.12","0.14","0.12","0.14","0.16","0.17","0.14","0.12","0.13"
"operating_margin","-0.14","-0.2","0.04","0.05","-0.02","0.04","0.01","0.04","0.06","0.06","0.03","0.04","0.05","0.07000000000000001","0.07000000000000001","0.05","0.06"
"pretax_margin","-0.2","0.98","0.04","0.06","-0.19","0.05","0.03","0.06","0.08","0.08","0.06","0.05","0.07000000000000001","0.1","0.07000000000000001","0.06","0.06"
"net_income_margin","-0.21","1","0.05","0.06","0.04","0.03","0.03","0.07000000000000001","0.06","-0.03","0.05","0.05","0.05","0.08","0.06","0.06","0.06"
"fcf_margin","-0.08","-0.16","0.05","0.05","0.06","0.07000000000000001","0.04","-0.02","","0.03","0.06","0.09","0.12","0.12","0.12","0.12","0.11"
"assets_to_equity","-1.07","6.21","3.74","3.71","4.04","3.85","4.93","4.82","5.03","5.87","5.31","4.96","4.73","3.72","3.65","4","3.92"
"equity_to_assets","-0.93","0.16","0.27","0.27","0.25","0.26","0.2","0.21","0.2","0.17","0.19","0.2","0.21","0.27","0.27","0.25","0.26"
"debt_to_equity","-0.54","0.72","0.29","0.33","0.43","0.84","1.3","1.57","1.7","2.6","2.45","2.27","2.23","1.68","1.6","1.8","1.73"
"debt_to_assets","0.5","0.12","0.08","0.09","0.11","0.22","0.26","0.32","0.34","0.44","0.46","0.46","0.47","0.45","0.44","0.45","0.44"
"revenue_per_share","257.3","113.07","83.48999999999999","90.09","90.90000000000001","92.73999999999999","92.43000000000001","82.76000000000001","95.02","97.58","102.76","95.37","84.94","86.51000000000001","107.8","125.52","134.17"
"ebitda_per_share","-17.99","-10.42","7.41","8.609999999999999","21.22","8.18","5.27","7.94","11.79","14.02","12.66","13.62","13.49","14.56","14.86","15.48","17.22"
"operating_income_per_share","-35.61","-22.73","3.15","4.16","-1.92","3.38","0.98","3.38","5.53","5.8","3.11","3.81","4.6","6.35","7.09","6.79","8.109999999999999"
"pretax_income_per_share","-50.9","110.8","3.53","5.5","-17.13","4.45","2.52","5.1","7.65","7.95","5.97","5.17","5.61","8.66","7.98","7.6","8.76"
"fcf_per_share","-20.24","-18.52","4.38","4.42","5.74","6.32","3.45","-1.36","-0.21","3.23","6.56","8.279999999999999","10.29","10.2","12.61","14.85","14.93"
"book_value_per_share","-146.94","23.74","16.48","17.15","15.89","23.91","21.35","24.59","28.07","24.26","29.89","31.94","34.45","44.83","49.71","49.9","60.76"
"tangible_book_per_share","-147.39","-25.15","-10.4","-6.25","10.64","19.59","17.57","20.64","24.13","20.31","25.97","28.2","30.83","41.38","46.32","46.36","56.61"
"payout_ratio","","","","","","","0.73","0.23","0.25","-0.57","0.27","0.33","0.09","","0.03","0.05","0.05"
"revenue_growth","","-0.3","0.3","0.11","0.01","0.02","","-0.13","0.1","-0.02","0.01","-0.07000000000000001","-0.11","0.04","0.23","0.1",""
"gross_profit_growth","","-26.36","3.19","0.15","-0.43","0.67","-0.24","0.26","0.09","-0.04","-0.23","-0.01","-0.02","0.31","0.17","-0.09",""
"ebitda_growth","","0.07000000000000001","2.25","0.19","1.47","-0.61","-0.35","0.47","0.42","0.13","-0.13","0.08","-0.01","0.1","0.01","-0.02",""
"operating_income_growth","","-0.02","1.24","0.36","-1.46","2.76","-0.71","2.36","0.57","","-0.49","0.23","0.21","0.41","0.11","-0.1",""
"pretax_income_growth","","4.48","-0.9399999999999999","0.6","-4.13","1.26","-0.43","0.97","0.43","-0.01","-0.28","-0.13","0.09","0.57","-0.09","-0.1",""
"net_income_growth","","4.39","-0.9399999999999999","0.49","-0.33","-0.14","-0.26","1.45","-0.03","-1.41","3.07","-0.16","-0.05","0.5600000000000001","-0.01","0.02",""
"eps_diluted_growth","","3.12","-0.97","0.58","-0.36","-0.18","-0.31","2.58","0.02","-1.44","3.09","-0.17","-0.05","0.55","-0.09","0.19",""
"shares_diluted_growth","","0.6","0.76","0.03","","","0.01","-0.03","-0.04","-0.05","-0.04","0.01","","0.02","-0.01","-0.06",""
"cash_and_equiv_growth","","0.61","-0.07000000000000001","-0.24","0.15","0.09","-0.05","-0.2","-0.17","0.23","0.34","-0.09","0.05","","-0.05","-0.02",""
"ppe_growth","","-0.53","0.03","0.24","0.09","0.13","0.19","0.48","0.3","0.18","0.04","-0.02","-0.04","0.02","-0.01","0.04",""
"total_assets_growth","","0.5","0.02","0.04","0.03","0.11","0.07000000000000001","0.09","0.14","-0.04","0.07000000000000001","","0.03","0.04","0.08","0.03",""
"total_equity_growth","","1.26","0.6899999999999999","0.05","-0.05","0.17","-0.17","0.12","0.09","-0.18","0.18","0.07000000000000001","0.08","0.32","0.1","-0.06",""
"cfo_growth","","-0.43","1.39","0.2","0.3","0.19","-0.2","0.17","0.41","0.04","-0.12","-0.02","0.11","-0.09","0.06","0.3",""
"capex_growth","","-0.7","2.19","-3.36","-0.25","-1.06","-1.08","-2.3","-0.21","0.26","0.53","0.47","0.41","0.89","11.93","-1.27",""
"fcf_growth","","-0.46","1.42","0.04","0.3","0.1","-0.45","-1.38","0.85","15.42","0.95","0.27","0.24","0.01","0.22","0.11",""
"shares_eop","579","925","1500.14","1564.73","1366.37","1500","1600","1500","1500","1400","1400","1400","1400","1500","1400","1200","1140.39"
"dividends","","","","","","","1.2","1.38","1.52","1.52","1.52","1.52","0.38","","0.18","0.36","0.39"
"price_to_earnings","","","8.960000000000001","3.45","6.37","11.47","14.14","5.27","5.54","-14.85","5.84","7.61","9.07","8.779999999999999","4.74","4.26","4.66"
"price_to_book","","","2.07","1.11","1.48","1.53","1.55","1.27","1.19","1.59","1.09","1.11","1.17","1.34","0.65","0.63","0.71"
"price_to_sales","","","0.41","0.21","0.26","0.39","0.36","0.38","0.35","0.39","0.32","0.37","0.48","0.6899999999999999","0.3","0.25","0.29"
"price_to_tangible_book","","","-3.27","-3.04","2.21","1.87","1.88","1.51","1.38","1.89","1.26","1.26","1.31","1.45","0.7","0.68","0.76"
"price_to_fcf","","","7.77","4.3","4.1","5.79","9.6","-22.86","-156.47","11.92","4.99","4.3","3.93","5.87","2.57","2.12","2.5"
"market_cap","","","55295.1604","31717.0771","39392.4471","61305","55856","51015","52260","57386","46830","51240","58296","87945","47096","43104","49885"
"period_end_price","","","36.86","20.27","28.83","40.87","34.91","34.01","34.84","40.99","33.45","36.6","41.64","58.63","33.64","35.92","35.92"
