"total_current_liabilities","","107.564","130.202","148.374","154.286","151.099","191.51","240.042","1181.645","1384.268","1280.125","1116.344","1059.655","1097.38","1199.345","857.314","811.658","1023.584","565.199","369.607","369.607"
"lt_debt","","156.51","186.179","203.853","91.70099999999999","82.51600000000001","72.5","101.518","1693.512","1457.642","1526.955","1411.755","1286.738","1055.305","1192.408","2284.184","2204.169","2078.625","40","466.164","466.164"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","136.399","139.23","56.549","51.259","48.684","48.684"
"pension_liabilities","","","","","130.188","105.23","112.257","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","6.925","8.375","9.907999999999999","7.685","10.375","13.529","","","","","","","","","","","","","",""
"other_lt_liabilities","609.7910000000001","437.154","466.571","481.354","362.285","440.256","415.91","557.708","1116.844","1018.151","1051.993","948.264","898.703","829.748","747.259","619.307","608.6180000000001","695.721","166.989","204.178","204.178"
"total_liabilities","609.7910000000001","708.153","791.327","843.489","746.145","789.476","805.706","899.268","3992.001","3860.061","3859.073","3476.363","3245.096","2982.433","3139.012","3897.204","3763.675","3854.479","823.447","1088.633","1088.633"
"common_stock","","","","","","","","","","","","","","","","","","","","",""
"preferred_stock","","0.001","0.001","0.001","","","","","0.014","0.014","","","","","","","","","","",""
"retained_earnings","","-141.655","-141.561","-109.238","-113.301","-76.273","-60.058","-55.503","-138.856","19.376","389.561","557.3","685.4109999999999","846.49","991.838","479.56","517.367","589.024","575.732","542.471","542.471"
"aoci","","-67.60899999999999","-54.223","-39.394","-120.07","-109.797","-130.515","-170.793","-146.594","-46.6","-443.691","-686.715","-988.345","-574.372","-780.177","-483.845","-452.106","-516.013","-53.43","-24.881","-24.881"
"apic","","201.681","201.681","201.66","400.259","402.852","406.901","415.527","2197.694","2541.005","3200.832","3199.267","3199.682","3228.174","3057.982","3445.597","3478.008","4544.315","2925.729","2900.747","2900.747"
"treasury_stock","","","","","","","","","","","","","","","","","","","","",""
"other_equity","98.09","0.0029999999999655","0.0010000000000039","0.022000000000006","0.042999999999978","0.04300000000000601","0.042999999999978","0.044000000000011","0.094000000000051","0.10199999999986","0.12400000000025","0.12300000000005","0.1230000000005","0.12300000000005","0.11699999999973","0.11799999999994","0.11799999999994","0.05200000000058901","0.054000000000087","0.054999999999836","0.054999999999836"
"minority_interest_liability","","","","","","","","","243.934","227.226","205.618","186.581","196.473","226.849","207.186","48.198","44.487","44.055","1.716","2.309","2.309"
"total_equity","98.09","-7.579","5.899","53.051","166.931","216.825","216.371","189.275","2156.286","2741.123","3352.444","3256.556","3093.344","3727.264","3476.946","3489.628","3587.874","4661.433","3449.801","3420.701","3420.701"
"total_liabilities_and_equity","707.881","700.574","797.226","896.54","913.076","1006.301","1022.077","1088.543","6148.287","6601.184","7211.517","6732.919","6338.44","6709.697","6615.958","7386.832","7351.549","8515.912","4273.248","4509.334","4509.334"
"cfo_net_income","0.8169999999999999","12.247","0.094","64.88200000000001","-0.571","23.797","16.215","4.555","-42.264","209.143","420.273","187.178","145.191","169.507","154.473","-517.146","45.771","76.27800000000001","-11.759","-32.731","-81.414"
"cfo_da","","12.914","13.136","16.883","14.788","15.074","16.807","22.598","183.403","119.258","174.724","142.037","137.176","132.203","141.877","236.026","246.229","262.919","219.71","217.1","238.513"
"cfo_receivables","","-2.143","-10.002","-3.149","-20.612","16.28","-6.06","-5.972","-37.338","-98.91200000000001","-19.916","64.048","-50.958","-44.345","-72.405","49.924","42.688","-110.985","-45.189","-16.316","-16.037"
"cfo_inventory","","-7.407","-12.466","-2.279","-15.556","10.763","11.598","10.844","26.694","79.98699999999999","57.847","-0.39","19.665","-34.023","-47.156","-44.887","23.787","-129.967","-118.791","-24.737","-26.539"
"cfo_prepaid_expenses","","","","","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","","-19.2","-2.958","-24.005","-14.611","-33.105","20.564","0.061000000000001","9.933","-1.18","-134.356","-105.27","-32.275","46.242","86.229","-136.494","-61.481","223.851","-58.307","13.785","-13.872"
"cfo_change_in_working_capital","","-28.75","-25.426","-29.433","-50.779","-6.062","26.102","4.933","-0.711","-20.105","-96.425","-41.612","-63.568","-32.126","-33.332","-131.457","4.994","-17.101","-222.287","-27.268","-56.448"
"cfo_deferred_tax","","-3.444","-6.208","22.186","-13.357","2.689","-0.296","-1.722","7.222","9.946","-139.488","-22.717","-1.682","12.066","-66.57299999999999","-0.59","-29.218","-22.188","6.32","-27.412","-38.209"
"cfo_stock_comp","","","","","11.33","2.59","3.14","4.91","9.369999999999999","13.33","17.58","16.32","19.02","21.55","25.1","21.96","28.91","35.35","38.96","34.07","32.9"
"cfo_other_noncash_items","-0.8169999999999999","-0.721","1.049","-0.03499999999999701","5.608","0.61600000000001","-0.002999999999993","21.879","17","30.597","9.093999999999999","22.607","10.837","-84.43000000000001","4.821999999999901","522.155","5.249","20.841","-86.80500000000001","-28.771","-3.967"
"cf_cfo","","-7.754","-17.355","74.483","-32.981","38.704","61.965","57.153","174.02","362.169","385.758","303.813","246.974","218.77","226.367","130.948","301.935","356.099","-55.861","134.988","91.375"
"cfi_ppe_net","","-3.711","-10.079","-13.538","-18.622","-10.787","-12.453","-13.624","-83.187","-71.482","-84.458","-69.877","-56.002","-47.541","-34.817","-117.621","-105.233","-97.20399999999999","-102.704","-89.652","-128.708"
"cfi_acquisitions_net","","","","","-0.439","-1.678","-27.96","-56.346","-1859.645","-372.476","-948.8","-196.007","-25.992","143.544","-272.514","-1515.136","-69.846","-223.272","-73.684","-152.815","-909.787"
"cfi_investment_net","","","","","","","","","","","","","","","139.48","","","","","",""
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","","","",""
"cfi_other","","-14.721","","-32.987","","","","","1.857","-31.012","3.115","18.927","","-6.127","2.8421709430404E-14","","","","","-2.8421709430404E-14","32.571"
"cf_cfi","","-18.432","-10.079","-46.525","-19.061","-12.465","-40.413","-69.97","-1940.975","-474.97","-1030.143","-246.957","-81.994","89.876","-167.851","-1632.757","-175.079","-320.476","-176.388","-242.467","-1005.924"
"cff_common_stock_net","","-82","","","187.289","","0.912","3.719","756.7619999999999","324.153","613.927","-21.315","-18.606","6.944","-195.301","11.879","3.5","745.179","5.814","1.776","2.209"
"cff_pfd_net","","","","","","","","","332.969","","-19.565","","","","","","","","","",""
"cff_debt_net","","35.272","26.561","14.26","-113.907","-5.417","-8.955","29.023","1159.843","-309.027","90.938","-88.88800000000001","-118.782","-277.379","158.238","1108.781","-118.316","-126.032","-1591.161","217.195","1065.379"
"cff_dividend_paid","","-18.742","","","-38.546","","","","-17.446","-20.396","-3.853","","","","","","","","","",""
"cff_other","","-0.432","","-2.523","-2.1316282072803E-14","","","","-48.9","-39.783","-31.398","-21.066","-7.83","-10.012","-10.09","248.834","-16.835","-34.241","1120.22","-91.17400000000001","-99.749"
"cf_cff","","-65.902","26.561","11.737","34.836","-5.417","-8.042999999999999","32.742","2183.228","-45.053","650.049","-131.269","-145.218","-280.447","-47.153","1369.494","-131.651","584.9059999999999","-465.127","127.797","967.8390000000001"
"ebitda","1.725","40.478","32.679","140.158","43.868","82.428","74.708","99.93600000000001","427.089","561.152","642.398","465.383","432.758","303.134","322.49","504.933","196.828","208.805","129.052","168.726","190.369"
"capex","","-3.711","-10.079","-13.538","-18.622","-10.787","-12.453","-13.624","-83.187","-71.482","-84.458","-69.877","-56.002","-47.541","-34.817","-117.621","-105.233","-97.20399999999999","-102.704","-89.652","-128.708"
"fcf","","-11.465","-27.434","60.945","-51.603","27.917","49.512","43.529","90.833","290.687","301.3","233.936","190.972","171.229","191.55","13.327","196.702","258.895","-158.565","45.336","-37.333"
"book_value","98.09","-7.58","5.898","53.05","166.931","216.825","216.371","189.275","2156.272","2741.109","3352.444","3256.556","3093.344","3727.264","3476.946","3489.628","3587.874","4661.433","3449.801","3420.701","3310.842"
"tangible_book_value","-54.591","-157.373","-148.333","-115.909","-12.115","41.455","15.735","-56.598","-721.6130000000001","-501.143","-564.162","-556.843","-173.999","171.517","1350.814","-1431.908","-1390.113","1573.147","355.486","232.445","-512.079"
"roa","","0.02","","0.08","","0.02","0.02","","-0.02","0.03","0.06","0.02","0.02","0.02","0.02","-0.08","0.01","0.01","","-0.01","-0.02"
"roe","","0.27","-0.11","2.2","-0.01","0.12","0.07000000000000001","0.02","-0.05","0.07000000000000001","0.13","0.05","0.04","0.04","0.04","-0.15","0.01","0.02","","-0.01","-0.02"
"roic","","0.1","","0.29","","0.08","0.05","0.02","-0.03","0.04","0.08","0.03","0.03","0.03","0.03","-0.1","0.01","0.01","","-0.01","-0.02"
"roce","","0.04","0.03","0.17","0.04","0.08","0.07000000000000001","0.09","0.08","0.09","0.08","0.06","0.05","0.03","0.03","0.04","-0.01","-0.01","-0.02","-0.01","-0.01"
"rotce","","0.06","0.04","0.22","0.05","0.11","0.09","0.12","0.18","0.21","0.23","0.17","0.15","0.08","0.07000000000000001","0.11","-0.03","-0.02","-0.03","-0.05","-0.05"
"gross_margin","0.36","0.36","0.35","0.35","0.36","0.35","0.35","0.35","0.29","0.31","0.32","0.31","0.31","0.35","0.33","0.42","0.54","0.55","0.5600000000000001","0.58","0.58"
"ebitda_margin","0.01","0.12","0.08","0.28","0.07000000000000001","0.16","0.14","0.14","0.11","0.13","0.14","0.14","0.14","0.16","0.15","0.15","0.18","0.15","0.08","0.1","0.1"
"operating_margin","0.01","0.08","0.05","0.24","0.05","0.13","0.11","0.11","0.06","0.11","0.1","0.09","0.09","0.09","0.08","0.08","-0.04","-0.04","-0.06","-0.03","-0.03"
"pretax_margin","-0.02","0.05","0.01","0.21","0.01","0.06","0.05","0.03","0.01","0.07000000000000001","0.08","0.06","0.06","0.03","0.04","0.02","-0.11","-0.09","","-0.04","-0.06"
"net_income_margin","0.19","0.04","","0.13","","0.05","0.03","0.01","-0.02","0.04","0.08","0.05","0.04","0.08","0.06","-0.16","0.04","0.05","-0.01","-0.02","-0.05"
"fcf_margin","","-0.03","-0.07000000000000001","0.12","-0.09","0.05","0.09","0.06","0.02","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.06","0.09","0.09","","0.18","0.18","-0.1","0.03","-0.02"
"assets_to_equity","7.22","-92.44","135.15","16.9","5.47","4.64","4.72","5.75","2.85","2.41","2.15","2.07","2.05","1.8","1.9","2.12","2.05","1.83","1.24","1.32","1.65"
"equity_to_assets","0.14","-0.01","0.01","0.06","0.18","0.22","0.21","0.17","0.35","0.42","0.46","0.48","0.49","0.5600000000000001","0.53","0.47","0.49","0.55","0.8100000000000001","0.76","0.6"
"debt_to_equity","","-20.91","31.99","3.89","0.58","0.42","0.38","0.59","0.8","0.54","0.46","0.44","0.42","0.28","0.34","0.7","0.66","0.46","0.09","0.15","0.42"
"debt_to_assets","","0.23","0.24","0.23","0.11","0.09","0.08","0.1","0.28","0.23","0.21","0.21","0.2","0.16","0.18","0.33","0.32","0.25","0.07000000000000001","0.11","0.25"
"revenue_per_share","42.45","47.36","53.96","69.40000000000001","50.07","36.35","37.23","46.99","128.93","125.76","113.1","82.51000000000001","77.58","46.87","54.47","73.04000000000001","24.58","27.89","28.91","31.33","33.29"
"ebitda_per_share","0.24","5.55","4.48","19.21","3.63","5.71","5.13","6.77","14.07","16.77","15.71","11.18","10.54","7.33","8.01","11.08","4.32","4.08","2.39","3.1","3.49"
"operating_income_per_share","0.24","3.78","2.68","16.9","2.41","4.66","3.98","5.24","8.029999999999999","13.21","11.44","7.77","7.2","4.14","4.49","5.9","-1.08","-1.06","-1.68","-0.89","-0.88"
"pretax_income_per_share","-0.71","2.54","0.73","14.26","0.4","2.24","1.9","1.35","1.6","9.050000000000001","8.76","5.24","5.03","1.17","2.29","1.11","-2.61","-2.38","-0.04","-1.23","-2.13"
"fcf_per_share","","-1.57","-3.76","8.35","-4.27","1.93","3.4","2.95","2.99","8.69","7.37","5.62","4.65","4.14","4.76","0.29","4.31","5.06","-2.93","0.83","-0.68"
"book_value_per_share","13.45","-1.04","0.8100000000000001","7.27","13.82","15.01","14.86","12.83","71.03","81.93000000000001","81.98999999999999","78.23999999999999","75.33","90.18000000000001","86.34999999999999","76.59999999999999","78.7","91.15000000000001","63.81","62.77","60.54"
"tangible_book_per_share","-7.48","-21.57","-20.33","-15.89","-1","2.87","1.08","-3.84","-23.77","-14.98","-13.8","-13.38","-4.24","4.15","33.55","-31.43","-30.49","30.76","6.58","4.27","-9.359999999999999"
"payout_ratio","","","","","","","","","","","","","","","","","","","","",""
"revenue_growth","","0.12","0.14","0.29","0.19","-0.13","0.03","0.28","4.64","0.07000000000000001","0.1","-0.26","-0.07000000000000001","-0.39","0.13","0.52","-0.66","0.27","0.1","0.09",""
"gross_profit_growth","","0.1","0.11","0.28","0.24","-0.14","0.03","0.25","3.8","0.13","0.13","-0.28","-0.07000000000000001","-0.32","0.09","0.92","-0.57","0.29","0.12","0.14",""
"ebitda_growth","","22.47","-0.19","3.29","-0.6899999999999999","0.88","-0.09","0.34","3.27","0.31","0.14","-0.28","-0.07000000000000001","-0.3","0.06","0.57","-0.61","0.06","-0.38","0.31",""
"operating_income_growth","","14.98","-0.29","5.31","-0.76","1.32","-0.14","0.34","2.15","0.8100000000000001","0.06","-0.31","-0.09","-0.42","0.06","0.49","-1.18","-0.1","-0.68","0.47",""
"pretax_income_growth","","4.57","-0.71","18.42","-0.95","5.66","-0.15","-0.28","1.42","5.25","0.18","-0.39","-0.05","-0.76","0.9","-0.45","-3.36","-0.02","0.98","-31.44",""
"net_income_growth","","-0.79","-0.99","689.23","-1.01","42.68","-0.32","-0.72","-15.14","3.77","1.2","-0.57","-0.24","0.18","-0.07000000000000001","-4.76","1.08","0.68","-1.19","-1.5",""
"eps_diluted_growth","","0.9","1.17","178","-1.06","6","-0.33","-0.73","-10.2","2.67","0.96","-0.5600000000000001","-0.22","0.17","-0.05","-4.35","1.08","0.51","-1.18","-1.44",""
"shares_diluted_growth","","","","","0.66","0.2","0.01","0.01","1.06","0.1","0.22","0.02","-0.01","0.01","-0.03","0.13","","0.12","0.06","0.01",""
